timestamp,x_raw,y_raw,x_kalman,y_kalman,d_A1,d_A2,d_A3,rssi_A1,rssi_A2,rssi_A3,rejected_A1,rejected_A2,rejected_A3,weight_A1,weight_A2,weight_A3
2026-04-14 15:12:34.241,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:34.525,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:12:39.463,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,1,0,1.0,0.5,1.0
2026-04-14 15:12:39.566,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,0,1,1,1.0,0.5,0.5
2026-04-14 15:12:40.113,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,1,1,1,0.5,0.5,0.5
2026-04-14 15:12:44.791,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,1,1,1,0.5,0.5,0.5
2026-04-14 15:12:45.200,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,1,1,2,0.5,0.5,0.333
2026-04-14 15:12:45.405,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,2,1,2,0.333,0.5,0.333
2026-04-14 15:12:50.117,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,2,1,2,0.333,0.5,0.333
2026-04-14 15:12:50.526,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,2,1,3,0.333,0.5,0.25
2026-04-14 15:12:50.688,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,3,1,3,0.25,0.5,0.25
2026-04-14 15:12:55.445,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,3,1,3,0.25,0.5,0.25
2026-04-14 15:12:55.849,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,3,1,4,0.25,0.5,0.2
2026-04-14 15:12:56.279,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,4,1,4,0.2,0.5,0.2
2026-04-14 15:13:00.767,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,4,1,4,0.2,0.5,0.2
2026-04-14 15:13:01.176,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,4,1,5,0.2,0.5,0.167
2026-04-14 15:13:01.564,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,5,1,5,0.167,0.5,0.167
2026-04-14 15:13:06.396,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,5,1,5,0.167,0.5,0.167
2026-04-14 15:13:06.603,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,5,1,6,0.167,0.5,0.143
2026-04-14 15:13:06.854,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,6,1,6,0.143,0.5,0.143
2026-04-14 15:13:11.688,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,6,1,6,0.143,0.5,0.143
2026-04-14 15:13:12.235,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,6,1,7,0.143,0.5,0.125
2026-04-14 15:13:12.447,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,7,1,7,0.125,0.5,0.125
2026-04-14 15:13:17.353,3.38,1.089,3.38,1.089,3.515,3.746,2.36,-72.0,-79.0,-66.9,7,1,7,0.125,0.5,0.125
2026-04-14 15:13:17.563,3.38,1.401,3.38,1.235,3.515,3.746,1.84,-72.0,-79.0,-64.9,7,1,7,0.125,0.5,0.125
2026-04-14 15:13:17.733,4.04,2.061,3.609,1.524,4.647,3.746,1.84,-74.0,-79.0,-64.9,7,1,7,0.125,0.5,0.125
2026-04-14 15:13:22.681,4.04,2.061,3.991,2.025,4.647,3.746,1.84,-74.0,-79.0,-64.9,7,1,7,0.125,0.5,0.125
2026-04-14 15:13:23.193,4.04,2.061,4.034,2.068,4.647,3.746,1.84,-74.0,-79.0,-64.9,7,1,6,0.125,0.5,0.143
2026-04-14 15:13:23.329,4.04,2.061,4.042,2.074,4.647,3.746,1.84,-74.0,-79.0,-64.9,6,1,6,0.143,0.5,0.143
2026-04-14 15:13:28.008,4.04,2.061,4.116,2.163,4.647,3.746,1.84,-74.0,-79.0,-64.9,6,1,6,0.143,0.5,0.143
2026-04-14 15:13:28.522,4.04,2.061,4.086,2.122,4.647,3.746,1.84,-74.0,-79.0,-64.9,6,1,5,0.143,0.5,0.167
2026-04-14 15:13:28.926,4.04,2.061,4.073,2.105,4.647,3.746,1.84,-74.0,-79.0,-64.9,5,1,5,0.167,0.5,0.167
2026-04-14 15:13:33.639,4.04,2.061,4.063,2.09,4.647,3.746,1.84,-74.0,-79.0,-64.9,5,1,5,0.167,0.5,0.167
2026-04-14 15:13:33.846,4.04,2.061,4.053,2.077,4.647,3.746,1.84,-74.0,-79.0,-64.9,5,1,4,0.167,0.5,0.2
2026-04-14 15:13:34.218,4.04,2.061,4.048,2.071,4.647,3.746,1.84,-74.0,-79.0,-64.9,4,1,4,0.2,0.5,0.2
2026-04-14 15:13:38.963,4.04,2.061,4.041,2.061,4.647,3.746,1.84,-74.0,-79.0,-64.9,4,1,4,0.2,0.5,0.2
2026-04-14 15:13:39.170,4.04,2.061,4.04,2.061,4.647,3.746,1.84,-74.0,-79.0,-64.9,4,1,3,0.2,0.5,0.25
2026-04-14 15:13:39.814,4.04,2.061,4.04,2.06,4.647,3.746,1.84,-74.0,-79.0,-64.9,3,1,3,0.25,0.5,0.25
2026-04-14 15:13:44.292,3.924,2.178,3.949,2.149,4.647,3.958,1.84,-74.0,-79.5,-64.9,3,1,3,0.25,0.5,0.25
2026-04-14 15:13:44.493,3.924,2.178,3.935,2.164,4.647,3.958,1.84,-74.0,-79.5,-64.9,3,1,2,0.25,0.5,0.333
2026-04-14 15:13:45.403,3.924,2.178,3.921,2.179,4.647,3.958,1.84,-74.0,-79.5,-64.9,2,1,2,0.333,0.5,0.333
2026-04-14 15:13:49.920,3.793,2.308,3.804,2.296,4.647,4.182,1.84,-74.0,-80.0,-64.9,2,1,2,0.333,0.5,0.333
2026-04-14 15:13:50.119,3.793,2.308,3.797,2.304,4.647,4.182,1.84,-74.0,-80.0,-64.9,2,1,3,0.333,0.5,0.25
2026-04-14 15:13:50.690,3.793,2.308,3.787,2.314,4.647,4.182,1.84,-74.0,-80.0,-64.9,1,1,3,0.5,0.5,0.25
2026-04-14 15:13:55.445,3.793,2.308,3.768,2.333,4.647,4.182,1.84,-74.0,-80.0,-64.9,1,1,0,0.5,0.5,1.0
2026-04-14 15:13:55.567,3.793,2.308,3.779,2.322,4.647,4.182,1.84,-74.0,-80.0,-64.9,1,1,0,0.5,0.5,1.0
2026-04-14 15:13:55.986,3.793,2.308,3.783,2.319,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,1,0,1.0,0.5,1.0
2026-04-14 15:14:00.768,3.793,2.308,3.786,2.315,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,1,0,1.0,0.5,1.0
2026-04-14 15:14:01.177,3.793,2.308,3.79,2.312,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:14:01.875,3.793,2.308,3.791,2.31,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:14:06.397,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:14:06.496,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:07.469,3.793,2.308,3.794,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:11.716,3.793,2.308,3.794,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:12.082,3.793,2.308,3.794,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:12.758,3.793,2.308,3.794,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:17.403,3.793,2.308,3.794,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:18.049,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:21.855,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:22.780,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:14:23.340,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:14:27.438,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,0,1.0,1.0,1.0
2026-04-14 15:14:28.102,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:28.700,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,0,1.0,0.143,1.0
2026-04-14 15:14:32.805,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,4,1.0,0.143,0.2
2026-04-14 15:14:33.422,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,4,1.0,0.143,0.2
2026-04-14 15:14:33.989,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,4,1.0,0.143,0.2
2026-04-14 15:14:38.092,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,4,1.0,0.143,0.2
2026-04-14 15:14:38.747,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,4,1.0,0.143,0.2
2026-04-14 15:14:39.278,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,4,1.0,0.143,0.2
2026-04-14 15:14:43.867,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,5,1.0,0.143,0.167
2026-04-14 15:14:44.029,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,5,1.0,0.143,0.167
2026-04-14 15:14:44.571,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,6,5,1.0,0.143,0.167
2026-04-14 15:14:49.390,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:14:49.494,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:14:49.854,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:14:54.715,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:14:55.125,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:14:55.438,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:15:00.038,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:15:00.449,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,4,1.0,1.0,0.2
2026-04-14 15:15:00.727,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,4,1.0,1.0,0.2
2026-04-14 15:15:05.666,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,4,1.0,1.0,0.2
2026-04-14 15:15:05.770,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,4,1.0,1.0,0.2
2026-04-14 15:15:06.010,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,4,1.0,1.0,0.2
2026-04-14 15:15:10.993,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,4,1.0,1.0,0.2
2026-04-14 15:15:11.615,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,4,1.0,1.0,0.2
2026-04-14 15:15:11.658,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:15:16.622,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:15:17.266,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
2026-04-14 15:15:17.317,3.793,2.308,3.793,2.308,4.647,4.182,1.84,-74.0,-80.0,-64.9,0,0,5,1.0,1.0,0.167
